Location	Pincode
A.P.dabolim	403801
A.P.terminal	403801
Agapur Adpoi	403401
Agonda	403702
Ambaulim	403705
Ambelim	403723
Amona	403107
Aquem	403601
Assolda	403714
Assolna	403701
Avedem	403705
Baina	403802
Balli	403703
Banastrim	403107
Bandora	403401
Barcem	403703
Bati	403704
Benaulim	403716
Betalbhatim	403713
Betora	403401
Betora I.e.	403409
Betul	403723
Bhatpal	403702
Bogmalo	403806
Borim	403401
Cacora	403706
Calem	403704
Camurlim	403718
Canacona	403702
Cananguinim	403703
Cansaulim	403712
Carmona	403717
Cavelossim	403731
Cavorim	403714
Chandor	403714
Chicalim	403711
Chinchinim	403715
Cola	403702
Collem	403410
Colva	403708
Cortalim	403710
Cotigaon	403702
Cuncolim	403703
Cundaim I.e.	403115
Cundiam	403115
Curchorem	403706
Curdi	403704
Curti	403401
Curtorim	403709
Davorlim	403707
Dramapur	403725
Durbhat	403401
Farmagudi	403401
Fatorda	403602
Fatorpa	403703
Gandhi Market complex margao	403601
Gaodongarim	403702
Gogol	403601
Guirdolim Pssk	403714
Loliem	403728
Loliem Polem	403728
Loutolim	403718
Macazana	403709
Majorda	403713
Mangor Hill	403802
Marcela	403107
Mardol	403404
Margao	403601
Molcarnem	403704
Mollem	403410
Mormugao	403803
Morpirla	403703
Nagao	403722
Navelim	403707
Navelim Camp	403729
Netorlim	403704
Nirankal	403401
Nuvem	403604
Orlim	403724
Palolem	403702
Panchwadi	403706
Pirla	403705
Poinguinim	403702
Ponda Camp	403401
Priol	403404
Quela	403401
Quepem	403705
Querim	403401
Quirlapale	403706
Raia	403720
Rivona	403705
Sada	403804
Sadolxem	403702
Sancoale	403710
Sanguem	403704
Sem-rachol soso	403719
Seraulim	403708
Sigao	403410
Sirvoi	403705
St. jose de areal	403709
Talaulim	403707
Thana	403710
Tisca	403406
Ugvem	403704
Utorda	403713
Vaddem	403802
Vademnagar	403802
Valkini	403704
Vanelim	403708
Varca	403721
Vasco-da-gama	403802
Velguem	403105
Velim	403723
Velsao Pssk	403712
Verem De ponda	403401
Verna	403722
Veroda	403703
Xeldem	403705
Xelvona	403706
Zuarinagar	403726